movieId,meta-data
1,Animation Adventure Family Comedy  TomHanks TimAllen DonRickles JimVarney WallaceShawn JohnRatzenberger AnniePotts JohnMorris ErikvonDetten LaurieMetcalf R.LeeErmey SarahFreeman PennJillette JackAngel SpencerAste GregBerg LisaBradley KendallCunningham DebiDerryberry CodyDorkin BillFarmer CraigGood GregoryGrudt DanielleJudovits SamLasseter BrittanyLevenbrown SherryLynn ScottMcAfee MickieMcGowan RyanO'Donohue JeffPidgeon PatrickPinney PhilProctor JanRabson JoeRanft AndrewStanton ShaneSweet NathanLane JohnLasseter ErnieSabella JonathanBenair AnthonyBurch  JohnLasseter
2,Adventure Fantasy Family  RobinWilliams KirstenDunst BradleyPierce BonnieHunt JonathanHyde BebeNeuwirth DavidAlanGrier AdamHann-Byrd PatriciaClarkson LauraBellBundy JamesHandy GillianBarber BrandonObray CyrusThiedeke GaryJosephThorup LeonardZola LloydBerry MalcolmStewart AnnabelKershaw DarrylHenriques RobynDriscoll PeterBryant SarahGilson FloricaVlad JuneLion BrendaLockmuller FrederickRichardson JaysenClough DanielOlsen FalkoSchilling DavidSzehi TomWoodruffJr.  JoeJohnston
3,Romance Comedy  WalterMatthau JackLemmon Ann-Margret SophiaLoren DarylHannah BurgessMeredith KevinPollak MichelleJohnston  HowardDeutch
4,Comedy Drama Romance  WhitneyHouston AngelaBassett LorettaDevine LelaRochon GregoryHines DennisHaysbert MichaelBeach MykeltiWilliamson LamontJohnson WesleySnipes WendellPierce DonaldFaison BrandonHammond KenyaMoore StarlettaDuPois DelainaMitchell WrenT.Brown JazzRaycole JeffreyD.Sams Leon GiancarloEsposito KellyPreston L.ScottCaldwell HopeBrown GrahamGalloway DonyellHinton Wanda-LeeEvans WallyBujack ShariL.Carpenter  ForestWhitaker
5,Comedy Family  SteveMartin DianeKeaton MartinShort KimberlyWilliams-Paisley GeorgeNewbern KieranCulkin BDWong PeterMichaelGoetz KateMcGregor-Stewart JaneAdams EugeneLevy LoriAlan CaseyBoersma DylanBoersma DorianSpencer  CharlesShyer
6,Action Crime Drama Thriller  AlPacino RobertDeNiro ValKilmer JonVoight TomSizemore DianeVenora AmyBrenneman AshleyJudd KevinGage MykeltiWilliamson WesStudi TedLevine NataliePortman DannyTrejo WilliamFichtner HankAzaria DennisHaysbert TomNoonan SusanTraylor KimStaunton HenryRollins JerryTrimble MartinFerrero RickyHarris ToneLoc BegonyaPlaza HazelleGoodman RayBuktenica JeremyPiven XanderBerkeley RickAvery BradBaldridge AndrewCamuccio BrianCamuccio MaxDaniels VinceDeadrickJr. CharlesDuke ThomasElfmont KennyEndoso KimberlyFlynn StevenFord FarrahForke HannesFritsch AmandaGraves EmilyGraves NikiHaris TedHarvey PatriciaHealy PaulHerman CindyKatz BrianLibby BillMcIntosh DanMartin RickMarzan TerryMiller PaulMoyer DanielO'Haco MarioRoberts PhillipRobinson ThomasRosalesJr. RainellSaunders KaiSoremekun ReyVerdugo WendyL.Walsh YvonneZima MonicaLeeBellais PeterBlackwell TrevorCoppola BudCort AnnetteGoodman MickGould MaryKircher DavidKoseruba MelissaS.Markess AndreMcCoy DarrenMelton RobertMiranda KathrynMullen MannyPerry JimmyN.Roberts IvaFranksSinger GloriaKoehnStraube VivianeVives TimWerner  MichaelMann
7,Comedy Romance  HarrisonFord JuliaOrmond GregKinnear NancyMarchand JohnWood RichardCrenna AngieDickinson LaurenHolly DanaIvey MiriamColon ElizabethFranz FannyArdant ValérieLemercier PatrickBruel BeckyAnnBaker PaulGiamatti JohnC.Vennema GregoryChase MargoMartindale J.Smith-Cameron ChristineLuneau-Lipton MichaelDees DenisHolmes Jo-JoLowe IraWheeler PhilippaCooper AyakoKawahara FrançoisGenty GuillaumeGallienne InésSastre PhinaOruche Helena Katia AndreaBehalikova JenniferHerrera KristinaKumlin EvaLinderholm CarmenChaplin MichelineVandeVelde JoannaRhodes AlanBoone PatrickForster-Delmas KentaroMatsuo J.B.Benn PeterMcKernan EdConnelly RonaldL.Schwary KennethA.MacDonald AlvinLum SichingSong PhilNee RandyBecker SusanBrowning AnthonyMondal PeterParks DougFerony DaleResteghini MichaelCline WoodrowAsai PhilippeHartmann JerryQuinn VictorWarren DoriRosenthal EricBrunoBorgman  SydneyPollack
8,Family Action Adventure Drama  JonathanTaylorThomas BradRenfro EricSchweig CharlesRocket AmyWright MichaelMcShane MarianSeldes RachaelLeighCook LannyFlaherty CourtlandMead PeterMacKenzie HeathLamberts WilliamNewman JoeyStinson BlakeHeron JimAycock AndyStahl AdrianRoberts TiffanyLynnClark KellenHathaway MarkCabus BronwenMurray PaulKropfl TamaraMello IkeEisenmann  PeterHewitt
9,Action  Jean-ClaudeVanDamme PowersBoothe RaymondJ.Barry WhittniWright RossMalinger DorianHarewood KateMcNeil MichaelGaston AudraLindley BrianDelate SteveAronson MichaelR.Aubele KarenEliseBaldwin JenniferD.Bowser PatBrisson GlendaMorganBrown JopheryC.Brown WilliamCameron BernardCanepari JayCaufield AlanClement BillClement BillDalzell GilbertB.Combs JackErdie EdEvanko DavidFlick GlennAlanGardner JohnHall JeffHabberstad MarkHager JohnHateley Rosine'Ace'Hatem JeffHochendoner JeffHowell BrianHutchison JeffJimerson MarkKachowski CallumKeith-King RickLeFevour TommyLafitte RaymondLaine MikeLange ButchLuick FredMancuso AnthonyMarino LarryJohnMeyers KenMilchick FaithMinton PaulMochnick BradMoniz Jean-PierreNutini DanielR.Pagath MannyPerry AllanPinsker DouglasRees DianeRobin LucRobitaille ThomasSaccio VinnieSciullo JackSkelly BrianSmrz PhilSpano PaulSteigerwald JohnSterling HaroldSurratt RohnThomas MiltonE.ThompsonJr. DixieTymitz FredWaugh RemaWebb DeanE.Wells  PeterHyams
10,Adventure Action Thriller  PierceBrosnan SeanBean IzabellaScorupco FamkeJanssen JoeDonBaker JudiDench RobbieColtrane TchékyKaryo GottfriedJohn AlanCumming DesmondLlewelyn SamanthaBond MichaelKitchen SerenaGordon SimonKunz PavelDouglas OlivierLajous BillyJ.Mitchell ConstantineGregory MinnieDriver MichelleArthur RavilIsyanov VladimirMilanovich TrevorByfield PeterMajer KateGayson SimoneBechtel  MartinCampbell
